"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","11,920,067","100"
"2","youtube.com","17,364,959","100"
"3","apple.com","4,491,400","100"
"4","microsoft.com","4,130,746","99"
"5","linkedin.com","8,608,003","99"
"6","www.blogger.com","24,874,384","99"
"7","play.google.com","2,302,759","99"
"8","support.google.com","4,465,895","99"
"9","maps.google.com","4,467,023","98"
"10","docs.google.com","2,195,589","98"
"11","plus.google.com","12,484,693","98"
"12","cloudflare.com","4,950,733","98"
"13","adobe.com","2,918,257","98"
"14","en.wikipedia.org","5,443,224","98"
"15","wordpress.org","9,564,777","98"
"16","youtu.be","3,749,749","97"
"17","mozilla.org","1,910,924","97"
"18","vimeo.com","3,105,551","97"
"19","accounts.google.com","2,528,301","97"
"20","sites.google.com","1,646,647","97"
"21","europa.eu","1,657,499","97"
"22","googleusercontent.com","2,146,857","97"
"23","drive.google.com","1,694,151","97"
"24","github.com","1,941,268","96"
"25","vk.com","1,598,843","96"
"26","creativecommons.org","1,533,466","96"
"27","medium.com","1,084,401","96"
"28","facebook.com","45,068,956","96"
"29","amazon.com","3,986,893","96"
"30","bbc.co.uk","1,417,944","96"
"31","bp.blogspot.com","15,812,893","96"
"32","istockphoto.com","3,057,139","96"
"33","cnn.com","1,214,557","96"
"34","msn.com","996,638","95"
"35","google.co.jp","632,532","95"
"36","nih.gov","1,025,688","95"
"37","nytimes.com","1,676,981","95"
"38","news.google.com","682,378","95"
"39","photos.google.com","230,460","95"
"40","gstatic.com","582,473","95"
"41","jimdofree.com","1,645,941","95"
"42","networkadvertising.org","710,388","95"
"43","google.com.br","266,533","95"
"44","dropbox.com","927,147","95"
"45","uol.com.br","559,655","95"
"46","fr.wikipedia.org","528,031","95"
"47","mail.google.com","428,781","95"
"48","pt.wikipedia.org","357,761","95"
"49","google.co.uk","546,304","95"
"50","w3.org","1,064,618","95"
"51","mail.ru","476,826","95"
"52","reuters.com","725,512","95"
"53","dailymotion.com","1,073,637","95"
"54","google.es","412,110","95"
"55","imdb.com","1,238,604","95"
"56","policies.google.com","1,019,837","95"
"57","t.me","464,340","95"
"58","developers.google.com","877,874","95"
