IP_present,url_length,dots_in_url,domain_length,number_of_domains,hyphen_count_in_domain,digits_count_in_domain,largest_domain_length,avg_domain_length,directory_length,sub_directory_count,largest_directory_length,avg_directory_length,suspicious_TLD,file_name_length,dots_file_name,delims_file_name,argument_length,number_of_arguments,largest_arg_length,max_delims_in_args,created_days_ago,updated_days_ago,expiration_days_remain,zipcode,label
0.0,26.0,2.0,21.0,3.0,0.0,0.0,13.0,6.3,5.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,54.0,250.0,-1.0,0.0
0.0,89.0,3.0,20.0,3.0,0.0,0.0,12.0,6.0,50.0,4.0,17.0,11.2,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,644.0,7.0,148.0,-1.0,0.0
0.0,33.0,2.0,33.0,3.0,2.0,0.0,25.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,79.0,21.0,-1.0,0.0
0.0,46.0,4.0,27.0,4.0,1.0,0.0,17.0,6.0,7.0,1.0,5.0,5.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,704.0,23.0,56.0,-1.0,0.0
0.0,18.0,2.0,17.0,3.0,0.0,0.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,9.0,24.0,-1.0,0.0
0.0,23.0,1.0,15.0,2.0,0.0,0.0,11.0,7.0,8.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0
0.0,65.0,3.0,14.0,3.0,0.0,0.0,6.0,4.0,42.0,5.0,14.0,7.2,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.0,49.0,1.0,12.0,2.0,0.0,0.0,9.0,5.5,37.0,5.0,8.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,21.0,40.0,-1.0,1.0
0.0,24.0,1.0,14.0,2.0,0.0,0.0,10.0,6.5,10.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,21.0,18222.0,1.0
0.0,61.0,4.0,14.0,3.0,0.0,0.0,7.0,4.0,35.0,4.0,11.0,7.5,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.0,21.0,3.0,20.0,4.0,0.0,2.0,6.0,4.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,27.0,4.0,91367.0,0.0
0.0,33.0,3.0,20.0,3.0,0.0,0.0,12.0,6.0,4.0,1.0,2.0,2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,605.0,1.0,4.0,0.0,0.0
0.0,20.0,2.0,20.0,3.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.0,80.0,48.0,115801549.0,0.0
0.0,17.0,2.0,16.0,3.0,0.0,0.0,9.0,4.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.0,10.0,20.0,-1.0,0.0
0.0,14.0,2.0,14.0,3.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.0,14.0,30.0,-1.0,0.0
0.0,40.0,3.0,16.0,3.0,0.0,1.0,9.0,4.7,8.0,2.0,3.0,2.5,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.0,21.0,2.0,20.0,3.0,0.0,0.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,12.0,18.0,-1.0,0.0
0.0,57.0,3.0,20.0,3.0,0.0,0.0,12.0,6.0,25.0,3.0,7.0,7.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,29.0,-1.0,1.0
0.0,25.0,2.0,24.0,3.0,0.0,0.0,14.0,7.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,29.0,2.0,-1.0,0.0
0.0,17.0,2.0,16.0,3.0,0.0,1.0,7.0,4.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.0,76.0,77.0,-1.0,0.0
0.0,34.0,2.0,33.0,3.0,0.0,0.0,25.0,10.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,7.0,87.0,-1.0,0.0
0.0,17.0,3.0,16.0,4.0,0.0,0.0,4.0,3.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,28.0,3.0,18.0,3.0,0.0,2.0,7.0,5.3,5.0,1.0,3.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,243.0,30.0,0.0,-1.0,1.0
0.0,34.0,2.0,14.0,3.0,0.0,0.0,6.0,4.0,20.0,2.0,9.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.0,26.0,5.0,431.0,0.0
0.0,26.0,2.0,12.0,3.0,0.0,0.0,5.0,3.3,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.0,16.0,2.0,15.0,3.0,0.0,0.0,7.0,4.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.0,25.0,37.0,-1.0,0.0
0.0,64.0,3.0,19.0,3.0,0.0,0.0,8.0,5.7,9.0,2.0,4.0,3.0,0.0,36.0,1.0,3.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0
0.0,15.0,3.0,14.0,4.0,0.0,0.0,3.0,2.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,24.0,6.0,-1.0,0.0
0.0,47.0,3.0,22.0,3.0,1.0,0.0,14.0,6.7,25.0,3.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0
0.0,35.0,2.0,19.0,3.0,0.0,0.0,11.0,5.7,16.0,2.0,7.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,26.0,19.0,-1.0,1.0
0.0,46.0,4.0,26.0,4.0,0.0,0.0,15.0,5.8,12.0,2.0,6.0,4.5,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.0,45.0,2.0,25.0,2.0,0.0,0.0,21.0,12.0,11.0,2.0,4.0,4.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0
0.0,46.0,3.0,14.0,3.0,0.0,2.0,6.0,4.0,16.0,2.0,7.0,6.5,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,18222.0,1.0
0.0,41.0,3.0,29.0,3.0,0.0,0.0,21.0,9.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,10.0,85260.0,0.0
0.0,16.0,3.0,15.0,4.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,24.0,2.0,23.0,3.0,0.0,0.0,15.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0,13.0,18.0,-1.0,0.0
0.0,14.0,2.0,13.0,3.0,0.0,0.0,5.0,3.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,195.0,80.0,-1.0,0.0
0.0,24.0,4.0,19.0,5.0,0.0,0.0,6.0,3.0,5.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,3.0,24.0,-1.0,0.0
0.0,19.0,2.0,19.0,3.0,0.0,0.0,11.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,11.0,80205.0,0.0
0.0,34.0,2.0,21.0,3.0,0.0,0.0,15.0,6.3,12.0,2.0,5.0,4.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,18.0,13.0,-1.0,1.0
0.0,23.0,2.0,22.0,3.0,0.0,0.0,14.0,6.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,18.0,2.0,17.0,3.0,0.0,0.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.0,49.0,47.0,32256.0,0.0
0.0,57.0,2.0,11.0,2.0,0.0,0.0,7.0,5.0,46.0,2.0,32.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,10.0,101.0,-1.0,1.0
0.0,14.0,1.0,13.0,2.0,0.0,0.0,9.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0
0.0,32.0,2.0,32.0,3.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,2.0,-2.0,-1.0,0.0
0.0,20.0,2.0,19.0,3.0,0.0,0.0,11.0,5.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,15.0,18.0,-1.0,0.0
0.0,231.0,1.0,24.0,2.0,3.0,0.0,20.0,11.5,207.0,7.0,36.0,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0
